DATAFLOW,LAST UPDATE,freq,currency,prod_ani,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LU,2014,225.10,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LU,2015,224.00,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LU,2016,224.60,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LU,2017,226.20,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LU,2018,229.00,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LU,2019,230.20,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LU,2020,228.50,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LU,2021,241.40,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LV,2012,117.73,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LV,2013,114.31,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LV,2014,98.34,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LV,2015,98.86,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LV,2016,98.99,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LV,2017,96.21,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LV,2018,103.99,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LV,2019,112.70,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LV,2020,112.84,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,LV,2021,124.76,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,PL,2012,152.85,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,PL,2013,147.61,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,PL,2014,142.51,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,PL,2015,143.85,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,PL,2016,135.55,p
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,PL,2017,149.15,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,PL,2018,154.31,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,PL,2019,147.35,p
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,PL,2020,144.13,p
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,PL,2021,167.19,p
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,RO,2012,152.52,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,RO,2013,166.99,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,RO,2014,189.20,
ESTAT:APRI_AP_ANOUTA$DEFAULTVIEW(1.0),27/11/22 23:00:00,A,EUR,11110000,RO,2015,182.41,
